CUSTOMER;C4C;CHANNEL;SECTOR;PRODUCT;SUPPLIER;SAMPLE STATUE;COMM CUST;RESULTS & NEXT STEP;YMB;Y VOL kg;VOL PO kg;REF PRODUIT SAP;PRIX/KG;REP;SAP ID;STARTED ON;UP TO DATE;OTHER
METAROM;YES;CONFISERIE;CHOCOLAT;SORBITOL ;CARGILL;NO SAMPLE REQUEST;;WAITING FOR CUSTOMER ;2500;2500;; SAP 145560   C* SORBIDEX P 16619 S25 25 KG              ;2950;BENOIT;11942;2022-09-01;;waiting for customer
NOSTEA;NO;BOISSON;JUS/SS ALCHOOL;COLORANTS ;ROHA;REQUEST AT LAB;CUSTOMER RECEIVE SAMPLE;WAITING FOR CUSTOMER;500;50;;;NO PRICING;CINDY;123355;2022-09-01;2022-09-30;waiting for sampling (Roha)
JARDIN D'ORBRIE;YES;BOISSON;JUS/SS ALCHOOL;AROME PECHE - MENTHE;AROMATECH ;RECEIVED BY CUSTOMER;CUSTOMER RECEIVE SAMPLE;WAITING FOR CUSTOMER;1000;50;; 7.30418 Arôme Menthe/7.31049 Arôme Pêche ;122,08;CINDY;NA;2022-09-02;2022-09-30;waiting for customer feedback 
TOPLESS DRINK;YES;BOISSON;JUS/SS ALCHOOL;AROME PECHE - YUZU;AROMATECH ;RECEIVED BY CUSTOMER;CUSTOMER RECEIVE SAMPLE;CLOSED  LOST;1000;50;;" Arôme yuzu 7.92419 / Arôme pêche 7.31049 ;-	Arôme pêche de vigne 7.90598 ;-	Arôme type pêche 7.90578  ";NO PRICING;CINDY;123504;2022-09-02;2022-10-19;product not selected (via protial…)
AROMATECH;YES;BOISSON;JUS/SS ALCHOOL;MELANGE VIT ;BRENNTAG AUTRICHE;REQUEST AT SUPPLIER;N/A;CLOSED  LOST;2000;100;;;NO PRICING;VANESSA;14200;2022-09-15;2022-09-17;projet pour boisson energy type redbull - Functionnal Solution Vit Avec Camille - pas assez rapide - sourcing ailleurs
BEDOUIN;NO;CONFISERIE;OTHER;AROME BIO WASABI /RAIFORT;AROMATECH ;REQUEST AT SUPPLIER;NO REPLY;CLOSED  LOST;2000;100;;;NO PRICING;FANNY;18527;2022-09-15;2022-09-30;demande arome wasabi ou raifort bio -- impossible a faire
FABRIQUE DU FAUBOURG;YES;BOISSON;JUS/SS ALCHOOL;AROME CHATAIGNE;AROMATECH ;RECEIVED BY CUSTOMER;CUSTOMER TRIED SAMPLE;CLOSED  LOST;500;25;; 7.31080 Arôme Nat Chataigne ;100,17;CINDY;NA;2022-09-15;2022-10-03;client va utiliser de la crème de marron au lieu des aromes
GIFFARD;NO;BOISSON;SIROP;ENZYMES;BRENNTAG AUTRICHE;REQUEST AT LAB;CUSTOMER WAITING FOR SHIPPING CONF;WAITING FOR SAMPLE;;;;;NO PRICING;MAGALIE;99253;2022-09-15;;transfere a FS Camille B. 
INNOVADRINK;NO;BOISSON;JUS/SS ALCHOOL;COLORANT FUTURAL BLACK CARROT;ROHA;NO SAMPLE REQUEST;N/A;WAITING FOR CUSTOMER;2500;250;;;11,9;VANESSA;119606;2022-09-15;;waiting for customer
PROTIAL;NO;BOISSON;JUS/SS ALCHOOL;AROME ABRICOT;AROMATECH ;RECEIVED BY CUSTOMER;CUSTOMER RECEIVE SAMPLE;WAITING FOR CUSTOMER;1000;50;; arôme abricot 7.93281 ;NO PRICING;VANESSA;;2022-09-15;;
PURATOS;NO;CONFISERIE;CHOCOLAT;BLACK SYRUP AND DARK MALT;CARGILL;NO SAMPLE REQUEST;N/A;CLOSED  LOST;3000;100;;;NO PRICING;BENOIT;123418;2022-09-15;;pas de solution - 
SEFA;NO;CONFISERIE;OTHER;AROME ENROBAGE NOIX;AROMATECH ;REQUEST AT SUPPLIER;CUSTOMER RECEIVE SAMPLE;WAITING FOR CUSTOMER;1500;75;;;NO PRICING;CINDY;NA;2022-09-20;;waiting for Aromatech
PCB CREATION;YES;CONFISERIE;JELLY/GUMMIES;PERFECTASOL D500 / ETENIA457;AVEBE ;REQUEST AT LAB;CUSTOMER RECEIVE SAMPLE;WAITING FOR CUSTOMER;2500;100;;;NO PRICING;CINDY;51204;2022-09-26;2022-11-12;customer tried solanic 300 + perfectasol D500 + Etenia 457 - ok avec Pecfectasol D500 mais probleme de dissolution du produit - granule - a voir avec Avebe
SUC (CONF DU NORD);YES;CONFISERIE;BONBON;ACIDE CITRIQUE A3 M 2;TEZKIM;RECEIVED BY CUSTOMER;CUSTOMER RECEIVE SAMPLE;WAITING FOR CUSTOMER;;;;;NO PRICING;BENOIT;13741;2022-09-26;;waiting for customer test
SUC (CONF DU NORD);YES;CONFISERIE;BONBON;PURAC POWDER 55 - 55NS;CORBION;REQUEST AT SUPPLIER;CUSTOMER RECEIVE SAMPLE;WAITING FOR CUSTOMER;;;;;NO PRICING;BENOIT;13741;2022-09-26;;customer waiting for sampling 
